grade,atrisk,at_risk_3,read_scale_score,ell_indicator,math_scale_score
10,1,2,0.506260254,No,0.504038607
8,1,2,0.192508375,No,-0.635597344
8,1,2,0.192508375,No,0.250806474
7,1,2,-0.282291356,No,-0.635597344
7,1,2,-0.282291356,No,0.250806474
10,1,2,0.442322629,No,0.131604695
3,0,0,0.619821883,No,0.488421017
3,0,0,-0.592111583,No,0.030893991
6,0,0,0.790412932,No,1.566003546
6,0,0,0.790412932,No,0.9259829
5,0,0,0.691134715,No,1.566003546
5,0,0,0.691134715,No,0.9259829
10,1,2,1.249644892,No,1.673783044
6,1,2,-1.523961255,No,-1.30165349
6,1,2,-1.523961255,No,-0.493660739
5,1,2,-1.408420186,No,-1.30165349
5,1,2,-1.408420186,No,-0.493660739
10,0,0,-0.393181632,No,0.632319663
4,0,0,0.924359471,No,0.804824878
5,0,0,1.428732431,No,0.804824878
9,1,2,0.021945392,No,0.632319663
10,0,0,2.864289418,No,2.414028652
5,1,2,0.691134715,No,-0.154590676
8,1,2,-0.34534707,No,-0.729857569
3,1,2,0.477241475,No,1.289093313
3,0,0,0.120790455,No,0.030893991
10,1,2,1.059762953,No,1.530287057
4,0,0,0.41779343,No,-0.305385689
6,0,0,0.417126773,No,0.546392155
6,0,0,0.417126773,No,2.34562654
5,0,0,0.224566959,No,0.546392155
5,0,0,0.224566959,No,2.34562654
4,0,0,0.716145593,No,0.360478482
4,0,0,0.716145593,No,0.013420198
3,0,0,1.2358865,No,0.360478482
3,0,0,1.2358865,No,0.013420198
6,1,2,-1.781066239,No,-1.309566536
7,1,2,-1.542056408,No,-1.309566536
10,1,2,0.298696742,No,0.05505491
7,0,0,1.189676601,No,1.471523229
7,0,0,1.189676601,No,1.118580122
6,0,0,0.292299246,No,1.471523229
6,0,0,0.292299246,No,1.118580122
9,1,2,0.921387278,No,0.439898079
7,1,2,-0.346923216,No,-0.083539834
8,0,0,0.861952482,No,1.323191194
7,0,0,-0.60931428,No,0.57136082
7,0,0,-0.60931428,No,0.01288101
8,0,0,-0.758176746,No,0.57136082
8,0,0,-0.758176746,No,0.01288101
6,0,0,0.491784004,No,1.049430173
6,0,0,0.491784004,No,1.119923562
5,0,0,1.390986348,No,1.049430173
5,0,0,1.390986348,No,1.119923562
7,1,2,-1.917405974,No,-0.133858741
7,1,2,-1.917405974,No,0.229040461
8,1,2,-1.154295546,No,-0.133858741
8,1,2,-1.154295546,No,0.229040461
5,0,0,-0.889167543,No,-0.986916776
5,0,0,-0.889167543,No,-2.521917709
4,1,2,-0.812438386,No,-0.986916776
4,1,2,-0.812438386,No,-2.521917709
3,0,0,1.095882569,No,2.430155708
3,0,0,1.095882569,No,1.352352951
